date,app_id,media_source,campaign,cost_usd,impressions,clicks
2026-08-26,app_101,Facebook Ads,PP_AND_US_purchase_broad,8.72,913,13
2026-08-26,app_101,googleadwords_int,PP_AND_UAC_tier1,1.62,257,4
2026-08-26,app_102,Facebook Ads,PP_IOS_US_value_opt,4.26,449,4
2026-08-26,app_201,Facebook Ads,FP_IOS_US_trial,2.71,281,3
2026-08-27,app_101,Facebook Ads,PP_AND_US_purchase_broad,3.85,410,4
2026-08-27,app_101,googleadwords_int,PP_AND_UAC_tier1,4.73,679,17
2026-08-27,app_102,Facebook Ads,PP_IOS_US_value_opt,3.85,437,4
2026-08-27,app_201,Facebook Ads,FP_IOS_US_trial,1.50,153,1
2026-08-28,app_101,Facebook Ads,PP_AND_US_purchase_broad,2.18,233,3
2026-08-28,app_101,applovin_int,PP_AND_AL_IN_cpi,0.41,103,1
2026-08-28,app_101,googleadwords_int,PP_AND_UAC_tier1,4.39,629,11
2026-08-28,app_102,Facebook Ads,PP_IOS_US_value_opt,3.07,315,4
2026-08-28,app_201,Facebook Ads,FP_IOS_US_trial,2.25,249,2
2026-08-29,app_101,Facebook Ads,PP_AND_US_purchase_broad,1.42,164,1
2026-08-29,app_101,applovin_int,PP_AND_AL_IN_cpi,0.99,218,3
2026-08-29,app_101,googleadwords_int,PP_AND_UAC_tier1,1.12,176,2
2026-08-29,app_102,Facebook Ads,PP_IOS_US_value_opt,0.00,0,0
2026-08-29,app_201,Facebook Ads,FP_IOS_US_trial,8.61,905,8
2026-08-29,app_401,Facebook Ads,BM_IOS_US_launch,1.03,105,1
2026-08-29,app_401,applovin_int,BM_IOS_AL_brandtest,2.03,439,4
2026-08-30,app_101,Facebook Ads,PP_AND_US_purchase_broad,6.64,803,7
2026-08-30,app_101,applovin_int,PP_AND_AL_IN_cpi,0.85,221,3
2026-08-30,app_101,googleadwords_int,PP_AND_UAC_tier1,0.93,132,2
2026-08-30,app_102,Facebook Ads,PP_IOS_US_value_opt,2.51,267,3
2026-08-30,app_102,tiktokglobal_int,PP_IOS_TT_DE_video,2.07,391,3
2026-08-30,app_201,Facebook Ads,FP_IOS_US_trial,2.36,243,3
2026-08-30,app_401,Facebook Ads,BM_IOS_US_launch,0.00,0,0
2026-08-30,app_401,applovin_int,BM_IOS_AL_brandtest,1.99,516,8
2026-08-31,app_101,Facebook Ads,PP_AND_US_purchase_broad,2.09,214,2
2026-08-31,app_101,applovin_int,PP_AND_AL_IN_cpi,0.28,68,0
2026-08-31,app_101,googleadwords_int,PP_AND_UAC_tier1,0.87,132,2
2026-08-31,app_102,Facebook Ads,PP_IOS_US_value_opt,2.24,253,1
2026-08-31,app_102,tiktokglobal_int,PP_IOS_TT_DE_video,4.90,911,7
2026-08-31,app_201,Facebook Ads,FP_IOS_US_trial,4.11,488,5
2026-08-31,app_401,Facebook Ads,BM_IOS_US_launch,9.28,1046,9
2026-08-31,app_401,applovin_int,BM_IOS_AL_brandtest,1.42,328,4
2026-09-01,app_101,Facebook Ads,PP_AND_US_purchase_broad,9.32,1019,7
2026-09-01,app_101,applovin_int,PP_AND_AL_IN_cpi,0.49,105,1
2026-09-01,app_101,googleadwords_int,PP_AND_UAC_tier1,1.69,280,3
2026-09-01,app_102,Facebook Ads,PP_IOS_US_value_opt,2.69,322,3
2026-09-01,app_102,tiktokglobal_int,PP_IOS_TT_DE_video,1.01,183,1
2026-09-01,app_201,Facebook Ads,FP_IOS_US_trial,3.55,386,2
2026-09-01,app_401,Facebook Ads,BM_IOS_US_launch,2.51,262,2
2026-09-01,app_401,applovin_int,BM_IOS_AL_brandtest,0.86,218,3
2026-09-02,app_101,Facebook Ads,PP_AND_US_purchase_broad,4.71,575,8
2026-09-02,app_101,googleadwords_int,PP_AND_UAC_tier1,1.15,163,4
2026-09-02,app_102,Facebook Ads,PP_IOS_US_value_opt,3.35,377,4
2026-09-02,app_102,tiktokglobal_int,PP_IOS_TT_DE_video,0.67,136,1
2026-09-02,app_201,Facebook Ads,FP_IOS_US_trial,1.62,194,2
2026-09-02,app_401,Facebook Ads,BM_IOS_US_launch,1.10,117,1
2026-09-02,app_401,applovin_int,BM_IOS_AL_brandtest,1.08,240,4
2026-09-03,app_101,Facebook Ads,PP_AND_US_purchase_broad,4.28,453,6
2026-09-03,app_101,googleadwords_int,PP_AND_UAC_tier1,0.00,0,0
2026-09-03,app_102,Facebook Ads,PP_IOS_US_value_opt,2.78,301,3
2026-09-03,app_102,tiktokglobal_int,PP_IOS_TT_DE_video,5.79,1185,7
2026-09-03,app_201,Facebook Ads,FP_IOS_US_trial,6.66,707,5
2026-09-03,app_401,Facebook Ads,BM_IOS_US_launch,5.48,556,4
2026-09-03,app_401,applovin_int,BM_IOS_AL_brandtest,2.32,584,6
2026-09-04,app_101,Facebook Ads,PP_AND_US_purchase_broad,5.42,620,7
2026-09-04,app_101,googleadwords_int,PP_AND_UAC_tier1,0.70,98,2
2026-09-04,app_102,Facebook Ads,PP_IOS_US_value_opt,7.28,781,6
2026-09-04,app_102,tiktokglobal_int,PP_IOS_TT_DE_video,1.26,252,1
2026-09-04,app_201,Facebook Ads,FP_IOS_US_trial,1.99,200,2
2026-09-04,app_401,Facebook Ads,BM_IOS_US_launch,2.65,268,3
2026-09-04,app_401,applovin_int,BM_IOS_AL_brandtest,1.90,448,6
