event_id,user_id,app_id,event_name,event_time,ingested_at,country,media_source,campaign,revenue_usd,is_test
ada55190-fe7d-477d-92c3-3820b360f560,usr_c7e21a90,app_101,install,2026-09-04 23:58:12,2026-09-10 07:20:45,us,Facebook Ads,PP_AND_US_purchase_broad,,false
c6ebee7f-2b49-4cb7-a92a-92e84147f46f,usr_c319deb6,app_102,purchase,2026-09-03 09:58:48,2026-09-10 08:47:21,IN,organic,,"4,99",false
0383200a-2589-443b-acdf-ef0edc267e93,usr_5c0c5047,app_201,purchase,2026-08-31 13:42:42,2026-09-10 09:15:48,US,organic,,4.99,false
6e6fddc0-5e28-458f-acdd-2806af2bde29,usr_e647bc94,app_201,purchase,2026-09-01 05:48:52,2026-09-01 18:08:47,TR,organic,,2.99,false
f6eca5f9-9f23-4aa7-87a4-da791e955cf1,usr_7021be3c,app_101,purchase,2026-09-11 14:09:47,2026-09-11 14:10:31,jp,organic,,"4,99",false
afa242e4-0911-4883-93fe-66147f1cc3df,usr_ba8c59a8,app_101,purchase,2026-09-04 03:29:21,2026-09-10 14:22:37,AU,organic,,8.49,false
e47b77fa-d502-4ca8-b798-22199951c6e7,usr_e0e13bc9,app_101,purchase,2026-09-11 10:30:00,2026-09-11 10:30:40,,Facebook Ads,PP_AND_US_purchase_broad,"99,99",true
36fe6b9d-6e6d-4582-aef9-c97a0fe8f576,usr_7021be3c,app_101,session_start,2026-09-11 14:05:22,2026-09-11 14:07:40,--,organic,,NULL,false
14a2ac19-bdca-4474-9ec2-d30025b93547,usr_20199239,app_102,purchase,2026-09-04 21:08:49,2026-09-10 20:41:03,ES,organic,,0.00,false
eb3193a9-e2d7-4a89-b385-de3b92504e6a,usr_385c353f,app_101,purchase,2026-08-28 07:38:41,2026-08-30 12:15:00,US,organic,,0.99,false
